date	adjclose_IBM	time	IBM
11jun2002	59.3447	359	-.017204527
12jun2002	58.684357	360	-.011189618
13jun2002	59.431175	361	.012645729
14jun2002	59.879269	362	.0075114216
17jun2002	60.641811	363	.012654266
18jun2002	59.69846	364	-.015678393
19jun2002	57.662392	365	-.034701049
20jun2002	56.27095	366	-.024426749
21jun2002	54.046207	367	-.040339049
24jun2002	54.793026	368	.013723549
25jun2002	53.928288	369	-.015907768
26jun2002	55.068176	370	.020916831
27jun2002	56.522511	371	.026066989
28jun2002	56.60112	372	.0013897977
01jul2002	53.142162	373	-.063058145
02jul2002	53.912567	374	.014392977
03jul2002	55.429794	375	.027753646
05jul2002	57.780312	376	.041530836
08jul2002	56.050835	377	-.030389046
09jul2002	54.769444	378	-.023126602
10jul2002	54.054073	379	-.013147535
11jul2002	54.565056	380	.0094087711
12jul2002	54.407825	381	-.0028856811
15jul2002	55.814995	382	.025534563
16jul2002	54.250603	383	-.028428456
17jul2002	55.571297	384	.024052719
18jul2002	56.64043	385	.019056227
19jul2002	56.60112	386	-.00069427618
22jul2002	53.849678	387	-.049832348
23jul2002	52.709797	388	-.021395087
24jul2002	54.667252	389	.036463503
25jul2002	54.517883	390	-.0027360572
26jul2002	52.198811	391	-.043469071
29jul2002	55.956497	392	.069514841
30jul2002	56.436035	393	.0085333223
31jul2002	55.343319	394	-.019551929
01aug2002	53.653145	395	-.031015862
02aug2002	53.362274	396	-.0054360651
05aug2002	51.876495	397	-.028238216
06aug2002	53.378002	398	.028532913
07aug2002	54.496773	399	.020742768
08aug2002	56.41917	400	.034667518
09aug2002	56.592503	401	.0030675123
12aug2002	56.545223	402	-.00083578419
13aug2002	56.647652	403	.0018098041
14aug2002	59.027008	404	.041144568
15aug2002	60.271839	405	.020869879
16aug2002	62.517262	406	.03657772
19aug2002	64.991165	407	.038808636
20aug2002	64.029961	408	-.014900232
21aug2002	63.817242	409	-.0033277092
22aug2002	64.597229	410	.012148116
23aug2002	63.344524	411	-.019583046
26aug2002	62.572411	412	-.012264013
27aug2002	61.422127	413	-.018554315
28aug2002	59.925175	414	-.024673445
29aug2002	60.366386	415	.0073357378
30aug2002	59.389427	416	-.016316216
03sep2002	57.00219	417	-.041026536
04sep2002	58.089451	418	.018894397
05sep2002	56.868256	419	-.021246791
06sep2002	57.671875	420	.014032332
09sep2002	58.696106	421	.017603766
10sep2002	59.562759	422	.01465715
11sep2002	58.459743	423	-.018692164
12sep2002	56.624016	424	-.031905171
13sep2002	57.120373	425	.0087276418
16sep2002	56.978554	426	-.0024858967
17sep2002	56.529472	427	-.0079128109
18sep2002	54.796165	428	-.031141918
19sep2002	51.053795	429	-.070740342
20sep2002	50.36047	430	-.01367334
23sep2002	49.927143	431	-.0086417338
24sep2002	47.075066	432	-.058821335
25sep2002	49.643509	433	.053124178
26sep2002	48.863522	434	-.015836507
27sep2002	47.555664	435	-.027130239
30sep2002	45.940536	436	-.034553025
01oct2002	48.193832	437	.047883179
02oct2002	46.980522	438	-.02549796
03oct2002	47.27203	439	.0061856923
04oct2002	44.593281	440	-.058335595
07oct2002	44.79813	441	.0045832056
