date	adjclose__IXIC	adjclose__FCHI	adjclose__GDAXI
28mar2013	3267.52001953125	3731.419921875	7795.31005859375
01apr2013	3239.169921875		
02apr2013	3254.860107421875	3805.3701171875	7943.8701171875
03apr2013	3218.60009765625	3754.9599609375	7874.75
04apr2013	3224.97998046875	3726.159912109375	7817.39013671875
05apr2013	3203.860107421875	3663.47998046875	7658.75
08apr2013	3222.25	3666.780029296875	7662.64013671875
09apr2013	3237.860107421875	3670.719970703125	7637.509765625
10apr2013	3297.25	3743.7099609375	7810.6298828125
11apr2013	3300.159912109375	3775.659912109375	7871.6298828125
12apr2013	3294.949951171875	3729.300048828125	7744.77001953125
15apr2013	3216.489990234375	3710.47998046875	7712.6298828125
16apr2013	3264.6298828125	3685.7900390625	7682.580078125
17apr2013	3204.669921875	3599.22998046875	7503.02978515625
18apr2013	3166.360107421875	3599.360107421875	7473.72998046875
19apr2013	3206.06005859375	3651.9599609375	7459.9599609375
22apr2013	3233.550048828125	3652.1298828125	7478.10986328125
23apr2013	3269.330078125	3783.050048828125	7658.2099609375
24apr2013	3269.64990234375	3842.93994140625	7759.02978515625
25apr2013	3289.989990234375	3840.469970703125	7832.85986328125
26apr2013	3279.260009765625	3810.050048828125	7814.759765625
29apr2013	3307.02001953125	3868.679931640625	7873.5
30apr2013	3328.7900390625	3856.75	7913.7099609375
01may2013	3299.1298828125		
02may2013	3340.6201171875	3858.760009765625	7961.7099609375
03may2013	3378.6298828125	3912.949951171875	8122.2900390625
06may2013	3392.969970703125	3907.0400390625	8112.080078125
07may2013	3396.6298828125	3921.320068359375	8181.77978515625
08may2013	3413.27001953125	3956.280029296875	8249.7099609375
09may2013	3409.169921875	3928.580078125	8262.5498046875
10may2013	3436.580078125	3953.830078125	8278.58984375
13may2013	3438.7900390625	3945.199951171875	8279.2900390625
14may2013	3462.610107421875	3966.06005859375	8339.1103515625
15may2013	3471.6201171875	3982.22998046875	8362.419921875
16may2013	3465.239990234375	3979.070068359375	8369.8701171875
17may2013	3498.969970703125	4001.27001953125	8398
20may2013	3496.429931640625	4022.85009765625	8455.830078125
21may2013	3502.1201171875	4036.179931640625	8472.2001953125
22may2013	3463.300048828125	4051.110107421875	8530.8896484375
23may2013	3459.419921875	3967.14990234375	8351.98046875
24may2013	3459.139892578125	3956.7900390625	8305.3203125
27may2013		3995.159912109375	8383.2998046875
28may2013	3488.889892578125	4050.56005859375	8480.8701171875
29may2013	3467.52001953125	3974.1201171875	8336.580078125
30may2013	3491.300048828125	3996.31005859375	8400.2001953125
31may2013	3455.909912109375	3948.590087890625	8348.83984375
03jun2013	3465.3701171875	3920.669921875	8285.7998046875
04jun2013	3445.260009765625	3925.830078125	8295.9599609375
05jun2013	3401.47998046875	3852.43994140625	8196.1796875
06jun2013	3424.050048828125	3814.280029296875	8098.81005859375
07jun2013	3469.219970703125	3872.590087890625	8254.6796875
